Year,Gender,Name,Team
2009,M,Ren-Jay Shei,Black Key Bulls
2009,M,Zach Trogdon,Gray Goat
2009,M,Eric Young,Cutters
2009,F,Jenna Johnson,Kappa Alpha Theta
2009,F,Kelsey Kent,Delta Gamma
2009,F,Lauren Sewell,Army Women
2009,F,Caitlin Van Kooten,Teter
2008,M,Clayton Feldman,Cutters
2008,M,Dan Brown,Phi Kappa Psi
2008,M,Stephen Quay,Sigma Alpha Mu
2008,M,Jordan Bailey,Black Key Bulls
2008,F,Caroline Brown,Pi Beta Phi
2008,F,Erin Axley,Kappa Alpha Theta
2008,F,Erin Hetzel,Teter
2008,F,Lauren Half,Delta Gamma
2008,F,Jenna Cerone,Kappa Delta
2007,M,Paul Sigfusson,Cutters
2007,M,John Paul Krol,Dodds House
2007,M,Cliff Boeghin,Phi Gamma Delta
2007,M,David Richardson,Delta Upsilon
2007,F,Libbie Thompson,Alpha Phi
2007,F,Julie Panzica,Kappa Delta
2007,F,Lauren Misch,Delta Gamma
2007,F,Lauren Magee,Kappa Delta
2007,F,Cassandra Dabela,Bella Veloce
2007,F,Katie Bolen,Kappa Alpha Theta
2006,M,Mike Sherer,Dodds House
2006,M,Isaac Neff,Black Key Bulls
2006,M,Adam Mahomed,Acacia
2006,M,Steve Ziemba,Alpha Tau Omega
2006,F,Anna Gartner,Kappa Kappa Gamma
2006,F,Colleen Groth,Kappa Kappa Gamma
2006,F,Pam Loebig,Cycledelics
2006,F,Jamie Hewitt,Wing It
2006,F,Liz Pallotta,Kappa Alpha Theta
2005,M,Daniel Houchens,Dodds House
2005,M,Pat Alhberg,Acacia
2005,M,Alex Bishop,Cutters
2005,M,David Mann,Alpha Tau Omega
2005,F,Caroline Andrew,Kappa Kappa Gamma
2005,F,Sarah Rieke,Teter
2005,F,Lindsey Manck,Kappa Delta
2005,F,Brittany Mahoney,Kappa Alpha Theta
2004,M,CT Blackwell,ACR Cycling
2004,M,Russell Vandergenugten,Cutters
2004,M,David Caughlin,Cutters
2004,M,Brady Gibney,Acacia
2004,F,Katie Thompson,Alpha Phi
2004,F,Rudi Romaine,Roadrunners
2004,F,Ann Hackett,Delta Gamma
2004,F,Jess Sapp,Kappa Kappa Gamma
2003,M,Bobby Allen,Acacia
2003,M,Brandon Hurey,Gafombi
2003,M,Hans Arnesen,Alpha Tau Omega
2003,M,Jason Smith,Cutters
2003,F,Katie Beyer,Kappa Alpha Theta
2003,F,Katie Zeller,Roadrunners
2003,F,Kelsey Cooper,Kappa Kappa Gamma
2003,F,Abby Cooper,Hatrix
2002,M,Luke Isenbarger,Corleones
2002,M,Clint Seal,Corleones
2002,M,Chris Vargo,Cutters
2002,M,Craig Luekens,Dodds House
2002,F,Kristin Carpenter,Kappa Kappa Gamma
2002,F,Parker Ryan,Kappa Alpha Theta
2002,F,Keri Anderson,Con Fuoco
2002,F,Allison Ware,Team Athena
2001,M,Brian Drummy,Phi Delta Theta
2001,M,Henrik Wahlberg,Cutters
2001,M,John Grant,Beta Theta Pi
2001,M,Nathan Hartman,Briscoe Blur
2001,F,Corey Bitzer,Alpha Gamma Delta
2001,F,Jenn Wangerin,Roadrunners
2001,F,Krissy Johnson,Kappa Alpha Theta
2001,F,Katie Mackey,Delta Gamma
2000,M,Mike Zyncinski,Sigma Phi Epsilon
2000,M,Todd Bagwell,Cutters
2000,M,Todd Eads,Theta Chi
2000,M,Dan Burns,Sigma Phi Epsilon
2000,F,Deirdre Finzer,Gamma Phi Beta
2000,F,Sara Coffman,Kappa Alpha Theta
2000,F,Brett Gentile,Kappa Alpha Theta
2000,F,Tammy Lueck,GDI's
1999,M,Todd Cornelius,Phi Gamma Delta
1999,M,Matt Beyer,Theta Chi
1999,M,Andy Lupo,Sigma Phi Epsilon
1999,M,Jay Fields,Phi Delta Theta
1999,F,Kara Kenney,Phi Mu
1999,F,Jenny Wallrab,Gamma Phi Beta
1999,F,Marie Baker,Alpha Phi
1999,F,Jessica Burns,Team Athena
1998,M,Scott Fast,Lambda Chi Alpha
1998,M,Aaron Hays,Sigma Nu
1998,M,Mike Israelson,Alta
1998,M,Tom Schmit,Sigma Alpha Epsilon
1998,F,Sarah Wilson,Kappa Alpha Theta
1998,F,Anne Holterhoff,Kappa Alpha Theta
1998,F,Kelly Maher,Alpha Chi Omega
1998,F,Lisa Roessler,Kappa Kappa Gamma
1997,M,Greg O'Brian,Dodds House
1997,M,Chris Wojtowich,Cutters
1997,M,Matt Burns,Sigma Alpha Epsilon
1997,M,Mike Possley,Phi Delta Theta
1997,F,Suzannah Bero,Kappa Kappa Gamma
1997,F,Carey Brown,Kappa Alpha Theta
1997,F,Jeanie Leinweber,Roadrunners
1997,F,Paige Peters,Delta Gamma
1996,M,Greg Krisco,Cutters
1996,M,Jon Foote,Dodds House
1996,M,Rob Rhamy,Phi Delta Theta
1996,M,Karl Bordine,Sigma Chi
1996,F,Sarah Steele,Kappa Alpha Theta
1996,F,Amanda Watts,Kappa Kappa Gamma
1996,F,Lesley Hobbs,Alpha Chi Omega
1996,F,Katie Baker,Delta Gamma
1995,M,Jim Lohman,Phi Gamma Delta
1995,M,Joel McKay,Phi Delta Theta
1995,M,Matt Thomas,Delta Chi
1995,M,Matt Langfeldt,Sigma Chi
1995,F,Kim Stewart,Gamma Phi Beta
1995,F,Maggie Mathews,Kappa Alpha Theta
1995,F,Tracey Thomas,Delta Gamma
1995,F,Kristen Menger,Alpha Gamma Delta
1994,M,Christ Thomas,Delta Tau Delta
1994,M,Steve Logan,Cinzano
1994,M,Brian Oliger,Delta Chi
1994,M,Dan Possley,Phi Delta Theta
1994,F,Andrea Kemper,McNutt
1994,F,Amy Christiansen,Alpha Omicron Pi
1994,F,Michelle LeVeque,Zeta Tau Alpha
1994,F,Tonya Diem,College Life
1993,M,Neal Stoeckel,Delta Chi
1993,M,Roger Stevens,Cinzano
1993,M,Chad Ruston,Sigma Alpha Epsilon
1993,M,Bryan Riley,Acacia
1993,F,Greta Hoetzer,Kappa Alpha Theta
1993,F,Stacy Uliana,Wright Cycledelics
1993,F,Kim Smith,Alpha Sigma Alpha
1993,F,Mandy Beck,Kappa Kappa Gamma
1992,M,David Von Allman,Acacia
1992,M,Eric Harsh,Cinzano
1992,M,Art Keith,Cutters
1992,M,Patrick Riley,Acacia
1992,F,Jocelyn Desmond,Kappa Alpha Theta
1992,F,Molly Housman,Forest Blonde Ambition
1992,F,Dena Hofer,Kappa Delta
1992,F,Kristen Schiele,Kappa Kappa Gamma
1991,M,John Gannon,Phi Delta Theta
1991,M,Ben Sharp,Cinzano
1991,M,Troy Lewis,Phi Gamma Delta
1991,M,Rob Pruitt,Phi Gamma Delta
1991,F,Anne Latchford,Alpha Delta Pi
1991,F,Sara Garnder,Landsharks
1991,F,Karen Dunne,Le Pas
1991,F,Mari McDonald,Delta Gamma
1990,M,Alan Barnes,Phi Delta Theta
1990,M,Mike Narszcz,Sigma Nu
1990,M,Jose de la Cruz,Cinzano
1990,M,Jim Swigart,Acacia
1990,F,Renee Lambo,Beyond Control
1990,F,Gina Nigro,Le Pas
1990,F,Jennifer Postoloff,Willkie-Read
1990,F,Susie Svengross,Kappa Alpha Theta
1989,M,Scott Hunt,Phi Gamma Delta
1989,M,Michael Lantz,Dodds House
1989,M,David Nedeff,Sigma Nu
1989,M,Peter Noverr,Acacia
1989,F,Jessalyn Leyra,Cycledelics
1989,F,Melissa Munkwitz,Beyond Control
1989,F,Reyna Randall,Forster-Nirvana
1989,F,Kristen Youngsquist,Kappa Kappa Gamma
1988,M,Mitch Johnson,Lambda Chi Alpha
1988,M,Jason Anderson,Pi Kappa Alpha
1988,M,Steve Klapper,Alpha Epsilon Pi
1988,M,Kris Schneck,Phi Delta Theta
1988,F,Mary Pappas,Kappa Alpha Theta
1988,F,Sue Hackett,Cycledelics
1988,F,Kerry Hellmuth,Willkie Sprint
1988,F,Laura Mandel,Alpha Epsilon Phi
1987,M,Wes Harris,Poser
1987,M,Jim Strobel,Phi Gamma Delta
1987,M,Mike Asher,Cinzano
1987,M,Rob Mackle,Cinzano
1987,F,Lisa Bough,Stonies
1986,M,Kent Compton,Phi Kappa Psi
1986,M,Dave Holleran,Phi Delta Theta
1986,M,Jim Host,Phi Delta Theta
1986,M,Paul Krachardt,Acacia
1985,M,Joel Streightiff,Pi Kappa Alpha
1985,M,Greg Brown,Cinzano
1985,M,M. Graig Hume,Phi Kappa Psi
1985,M,Kenneth H. Aull,Chi Phi
1984,M,Adam Giles,Cutters
1984,M,Adam Beck,Cutters
1984,M,Dan Hilbrich,Beta Theta Pi
1984,M,Vince Hoeser,Avere
1983,M,Jim Gurbach,Phi Delta Theta
1983,M,Scott Hamilton,Phi Kappa Psi
1983,M,Bob Johnson,Alpha Tau Omega
1983,M,Jim Pollak,Alpha Epsilon Pi
1982,M,Randy Strong,Delta Chi
1982,M,Jeff Hilligos,Acacia
1982,M,Scott Moss,Alpha Tau Omega
1982,M,Ben Cottingham,Beta Theta Pi
1981,M,Roger Vandergunugten,Alpha Tau Omega
1981,M,Fritz Westenfelder,Alpha Tau Omega
1981,M,Cory Campbell,Chi Phi
1980,M,Mike Brown,Phi Delta Theta
1980,M,Jeff Jellison,Sigma Alpha Epsilon
1980,M,Randy Ochs,Chi Phi
1980,M,Jerry Solon,Phi Kappa Phi
1979,M,John Rosner,Pi Kappa Phi
1979,M,Kent McPhearson,Acacia
1979,M,Ken Free,Theta Chi
1979,M,Robert Gibson,Kappa Sigma
1955,M,Ron David,South Cottage Grove
